,Unnamed: 0,Team,Player1,Player2,Player3,Player4,Player5,Rating,minRating,maxRating,Kda,minKda,maxKda,last10
0,0,Vitality,apEX,Magisk,ZywOo,flameZ,Spinx,1.1099999999999999,0.92,1.29,1.104,0.84,1.4,8
1,2,G2,NiKo,jks,huNter,HooXi,m0NESY,1.07,0.9,1.22,1.0574999999999999,0.82,1.24,9
2,4,ENCE,Snappi,dycha,Maden,Nertz,SunPayus,1.05,0.95,1.15,1.0325,0.86,1.25,6
3,5,Heroic,cadiaN,stavn,sjuush,TeSeS,Jabbi,1.0925,1.06,1.15,1.075,1.02,1.13,-3
4,8,MOUZ,frozen,torzsi,Jimpphat,siuhy,xertioN,1.176,1.07,1.24,1.2,0.98,1.45,16
5,9,Cloud9,Hobbit,electroNic,Ax1Le,Perfecto,sh1ro,1.0925,1.02,1.16,1.0950000000000002,0.98,1.27,-5
6,10,GamerLegion,Snax,acoR,Keoz,volt,isak,1.014,0.95,1.06,0.9800000000000001,0.88,1.11,-4
7,11,Astralis,dev1ce,blameF,b0RUP,Staehr,Buzz,1.095,1.02,1.25,1.07,0.97,1.31,7
8,13,Natus Vincere,s1mple,Aleksib,b1t,iM,jL,1.0675000000000001,0.96,1.12,1.03,0.88,1.08,4
9,14,Monte,sdy,DemQQ,kRaSnaL,Woro2k,br0,1.108,1.07,1.15,1.0799999999999998,1.01,1.17,5
10,15,FaZe,rain,karrigan,Twistzz,ropz,broky,1.0619999999999998,0.87,1.15,1.0539999999999998,0.76,1.22,-2
11,16,Apeks,STYKO,jkaem,nawwk,kyxsan,CacaNito,1.058,0.99,1.18,1.016,0.92,1.17,-6
12,20,9INE,Goofy,hades,mynio,KEi,Kylar,1.068,0.95,1.14,1.05,0.85,1.22,-9
13,21,BIG,tabseN,mantuu,prosus,Krimbo,s1n,1.0875,1.06,1.13,1.0474999999999999,0.95,1.19,-4
14,22,Complexity,EliGE,Grim,JT,Hallzerk,floppy,1.0675000000000001,0.93,1.12,1.0225,0.83,1.12,0
15,23,MIBR,exit,saffee,drop,brnz4n,insani,1.1300000000000001,1.0,1.28,1.154,0.96,1.33,-9
16,24,Movistar Riders,mopoz,alex,JUST,adamS,Martinez,0.9520000000000002,0.89,1.09,0.866,0.78,1.15,1
17,31,fnatic,KRIMZ,dexter,roeJ,afro,mezii,1.0933333333333335,1.03,1.18,1.0666666666666667,0.94,1.22,-2
18,32,Ninjas in Pyjamas,k0nfig,REZ,hampus,Brollan,headtr1ck,1.0600000000000003,1.03,1.11,1.0666666666666667,0.92,1.24,-4
19,35,Imperial,boltz,felps,HEN1,VINI,noway,1.21,1.21,1.21,1.36,1.36,1.36,-3
20,38,Eternal Fire,XANTARES,MAJ3R,Calyx,woxic,Wicadia,1.0933333333333335,0.96,1.27,1.0633333333333332,0.88,1.23,5
21,40,Lynn Vision,Westmelon,Starry,Jee,z4kr,EmiliaQAQ,1.15,1.13,1.17,1.1099999999999999,1.07,1.15,-8
22,49,Evil Geniuses,autimatic,Junior,Walco,HexT,Jeorge,1.0575,0.98,1.15,1.0299999999999998,0.9,1.15,-13
23,78,VERTEX,malta,HaZR,BRACE,pz,ADDICT,1.0750000000000002,0.99,1.13,1.0474999999999999,1.01,1.12,-3
