,Team1,Team2,Rating,openRating,openminRating,openmaxRating,ratingPis,ratingminPis,ratingmaxPis,minRating,maxRating,Kda,minKda,maxKda,last10
0,FaZe,Eternal Fire,-0.018000000000000016,-0.05600000000000016,0.030000000000000027,-0.22999999999999998,0.3340000000000001,0.25,0.6699999999999999,-0.06999999999999995,-0.010000000000000009,-0.02000000000000024,-0.16000000000000003,-0.09000000000000008,-2.0
0,9 Pandas,3DMAX,-0.04066666666666663,-0.026666666666666727,0.010000000000000009,-0.040000000000000036,-0.05916666666666659,-0.28,0.26,-0.020000000000000018,0.0,-0.07166666666666655,0.010000000000000009,-0.040000000000000036,-3.0
0,SINNERS,500,-0.07150000000000012,-0.04300000000000026,-0.13,0.04999999999999982,-0.14650000000000007,0.12,-0.05999999999999983,-0.08999999999999997,-0.08000000000000007,-0.13050000000000006,-0.22999999999999998,-0.11999999999999988,1.0
0,Natus Vincere,BetBoom,0.09499999999999997,0.04500000000000015,0.039999999999999925,0.09999999999999987,0.2654999999999996,0.42000000000000004,0.15999999999999992,-0.04999999999999993,0.18999999999999995,0.15150000000000008,-0.06999999999999995,0.41999999999999993,9.0
0,Case,BESTIA,-0.0944999999999998,-0.07650000000000001,-0.08999999999999997,-0.08999999999999986,-0.05999999999999994,-0.020000000000000018,-0.10000000000000009,-0.10999999999999999,-0.1299999999999999,-0.09950000000000014,-0.13,-0.09000000000000008,-4.0
0,Espionage,Permitta,0.07466666666666644,0.011666666666666492,0.040000000000000036,0.030000000000000027,-0.010333333333333306,0.07999999999999996,-0.010000000000000009,-0.020000000000000018,0.07999999999999985,0.1283333333333333,0.040000000000000036,0.21999999999999997,7.0
0,W7M,Sharks,0.030000000000000027,0.04000000000000015,-0.12,0.08999999999999986,0.020000000000000018,0.24,-0.06000000000000005,-0.04999999999999993,0.09999999999999987,0.06666666666666676,-0.010000000000000009,0.29000000000000004,1.0
0,Aurora Young Blud,Entropiq,0.02833333333333332,0.07333333333333336,0.0,0.16000000000000003,0.17833333333333345,-0.12,0.33000000000000007,-0.09000000000000008,0.13000000000000012,0.029999999999999916,-0.16000000000000003,0.14,4.0
0,W7M,Sharks,0.030000000000000027,0.04000000000000015,-0.12,0.08999999999999986,0.020000000000000018,0.24,-0.06000000000000005,-0.04999999999999993,0.09999999999999987,0.06666666666666676,-0.010000000000000009,0.29000000000000004,1.0
0,Zero Tenacity,Espionage,-0.004666666666666597,0.06833333333333358,-0.05999999999999994,0.1499999999999999,0.05833333333333335,0.13,0.040000000000000036,0.020000000000000018,0.040000000000000036,-0.05433333333333357,0.08999999999999997,-0.10000000000000009,-12.0
0,FTW,Alliance,0.13000000000000012,0.09549999999999992,0.050000000000000044,-0.040000000000000036,-0.30699999999999994,-0.12,-0.54,0.17000000000000004,0.09999999999999987,0.15949999999999998,0.22999999999999998,0.07999999999999985,4.0
0,The Chosen Few,Entropiq,0.10166666666666657,0.14,0.030000000000000027,0.2699999999999999,-0.05500000000000005,0.040000000000000036,-0.15000000000000002,0.0,0.18999999999999995,0.13,0.0,0.2300000000000001,4.0
